left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
akg,0.5186969,0.3695638,0.30134976,0.5217439,0.29024592,0.46446073,0.58328533,0.3309578,0.6333787,0.33947355,0.61912346,0.23955289,0.5822879,0.5392202,0.33360207,0.41866487,0.33867282,0.36162186,0.40476495,0.52227086
alc,0.43723783,0.30530155,0.46810365,0.29829162,0.45211667,0.41794538,0.69679433,0.4401851,0.48962748,0.58790535,0.21055378,0.25529182,0.39002657,0.6810812,0.52777994,0.34720993,0.5650445,0.2730646,0.64819217,0.2824275
ali,0.55338717,0.7053371,0.6291034,0.6301882,0.7302322,0.36495003,0.5772749,0.59623754,0.4879003,0.35630488,0.6971104,0.41852987,0.46862662,0.44833812,0.5507523,0.5650805,0.5405539,0.3785084,0.51149416,0.64442486
alt,0.27978656,0.41427416,0.4904808,0.4681855,0.3211999,0.58684456,0.430331,0.36832425,0.4811252,0.3674618,0.5528496,0.44165927,0.5437783,0.5111492,0.48831457,0.28215897,0.46456656,0.46819812,0.43567592,0.4091365
alx,0.5718824,0.46933997,0.45316643,0.27416456,0.4781593,0.42446232,0.2269128,0.4065683,0.5199923,0.5214801,0.2993483,0.40466577,0.36292934,0.2751301,0.36849666,0.5091499,0.36203426,0.562606,0.5025207,0.40274763
aly,0.2383902,0.27091596,0.5233429,0.26537305,0.21451306,0.3899255,0.46376115,0.15934868,0.4827396,0.42816114,0.75084877,0.56207895,0.38071114,0.45021445,0.42803067,0.26710415,0.430146,0.084927164,0.23878981,0.5389972
ama,0.24630791,0.503432,0.39881784,0.5432918,0.58772486,0.68211365,0.5547434,0.25567105,0.42396376,0.27354383,0.5953588,0.35688213,0.44528675,0.118513696,0.3182441,0.2963179,0.42008266,0.5659164,0.17309558,0.2536679
amb,0.53450453,0.39764595,0.7081445,0.47829458,0.46350077,0.7404467,0.70202553,0.44672155,0.5611987,0.31217003,0.60061944,0.6440247,0.2033236,0.33263552,0.42081565,0.5680113,0.57448447,0.4890913,0.54686844,0.6244571
amd,0.28245384,0.42010683,0.42703965,0.59914905,0.16688713,0.6340568,0.47624436,0.29327673,0.691244,0.231918,0.32131785,0.41189748,0.25699723,0.73935413,0.36325628,0.48064578,0.31617635,0.45881572,0.17470193,0.4054498
amg,0.36368772,0.4403364,0.1987558,0.45326665,0.679319,0.34254867,0.24484423,0.39125758,0.3259155,0.41520056,0.3710186,0.43848693,0.26486254,0.28580046,0.5181285,0.212994,0.25305578,0.22034459,0.16402055,0.26774508
amh,0.6082346,0.66719353,0.53556675,0.57174206,0.6008056,0.46835077,0.36067617,0.2748281,0.6130405,0.5117414,0.4952981,0.6362753,0.47523075,0.64957976,0.61248606,0.32393205,0.63300514,0.33388653,0.5945278,0.47400618
amn,0.500147,0.30380344,0.36100674,0.5723851,0.55320406,0.41280004,0.37075743,0.45742553,0.46066663,0.38293865,0.6361078,0.5303985,0.35076725,0.4013934,0.55003184,0.24393892,0.59203357,0.46894628,0.560267,0.41812027
amq,0.6378945,0.4215948,0.57905936,0.41377896,0.2791727,0.5525944,0.38895392,0.42303982,0.39687967,0.48525384,0.63047385,0.5443389,0.3560432,0.6133087,0.5518814,0.50695294,0.35843688,0.39310974,0.4085022,0.34010792
aop,0.4514075,0.45473334,0.6004839,0.2963344,0.67012835,0.5595705,0.5549787,0.2941062,0.39566082,0.3977157,0.5182768,0.40740097,0.6206071,0.24745524,0.3098198,0.5973333,0.6448158,0.3017658,0.33947387,0.57142717
aoq,0.55711246,0.4467194,0.48305458,0.38406187,0.5741345,0.5496422,0.36125368,0.5652509,0.5706998,0.43994188,0.36699665,0.46949267,0.4523935,0.29048035,0.3013082,0.48923227,0.65210557,0.23605359,0.3939545,0.38827997
aoy,0.4103831,0.32809928,0.27404433,0.4427251,0.44696924,0.49607205,0.48428032,0.4379746,0.39239806,0.529306,0.32148722,0.33018732,0.46702448,0.54579747,0.32666725,0.390059,0.32050833,0.593609,0.3117007,0.25291812
app,0.5082807,0.44155347,0.5421408,0.50030553,0.4917751,0.36301777,0.4729689,0.37443057,0.4656699,0.42795104,0.5115541,0.27462947,0.37593764,0.2760542,0.5500664,0.19781923,0.40782455,0.3778844,0.5026819,0.43577564
apx,0.6023313,0.5086965,0.4694907,0.16420975,0.31394303,0.50097305,0.64661527,0.3994267,0.2334269,0.35697186,0.47335216,0.39348105,0.31477556,0.16919196,0.2729815,0.5048408,0.43215123,0.1339801,0.5068368,0.41667962
aqd,0.6227593,0.2931848,0.32852274,0.6369386,0.26766282,0.52893007,0.55797464,0.2894308,0.34879038,0.31435698,0.42646736,0.36204845,0.3339902,0.37982738,0.60321826,0.331132,0.094803065,0.41001183,0.4594531,0.5180693
aqt,0.3992538,0.28688574,0.63368356,0.40590066,0.39781794,0.43941894,0.44376826,0.6246871,0.57814044,0.41466656,0.5940627,0.48893848,0.5555132,0.2879576,0.61352897,0.4277659,0.36970818,0.3048926,0.62492937,0.46992669
ara,0.2553446,0.37158072,0.42579153,0.29268926,0.25324997,0.51868117,0.29523855,0.53565586,0.49881727,0.30883035,0.4947567,0.48071384,0.3938403,0.45473543,0.44808173,0.54065347,0.4123134,0.5681229,0.5608677,0.33819944
arq,0.6289179,0.53557837,0.337619,0.6939019,0.4452401,0.6502408,0.37718558,0.36985892,0.28504896,0.32159418,0.3465329,0.3243308,0.5568798,0.4359732,0.41378984,0.41388524,0.5238064,0.5926535,0.6581845,0.58581245
aru,0.4547484,0.41575563,0.27424335,0.46714178,0.3949743,0.41067883,0.44997555,0.47047713,0.413935,0.59298915,0.37856948,0.47984946,0.35527772,0.4784493,0.44854832,0.6707142,0.39344606,0.29391003,0.46898198,0.33147985
asf,0.19840446,0.46569338,0.48749155,0.40987694,0.5000819,0.40079257,0.46265358,0.36063623,0.21340126,0.6087878,0.67459506,0.70906186,0.3638937,0.35748243,0.5902156,0.49841034,0.5255525,0.3424299,0.5631512,0.29087672
ass,0.7491581,0.4079864,0.44038033,0.53085804,0.4239431,0.39408785,0.307451,0.40508866,0.3755942,0.50186056,0.38239253,0.5337202,0.5816221,0.54349303,0.41231096,0.53456503,0.42421818,0.48247468,0.18922932,0.56650555
ate,0.6080089,0.38109177,0.4817957,0.5255322,0.5139678,0.53813815,0.4723187,0.5359913,0.38864934,0.6397444,0.36354595,0.5305878,0.5773439,0.6441479,0.45663595,0.47532162,0.454947,0.5422561,0.5253367,0.43323302
atf,0.33698535,0.36317372,0.4350146,0.61961436,0.55729395,0.491471,0.25564975,0.39106613,0.4915795,0.46578693,0.5000237,0.39344367,0.5295451,0.52819663,0.40582925,0.37006208,0.52748543,0.45758194,0.43230858,0.33974928
atj,0.4296816,0.5302059,0.57539624,0.7988071,0.3959763,0.47981548,0.29655635,0.4549023,0.5415691,0.7005708,0.42848825,0.5424732,0.4618426,0.5127636,0.67992103,0.5637326,0.46384743,0.4065141,0.39621606,0.6227758
atv,0.3909705,0.3376211,0.3223102,0.37697127,0.6940441,0.42455497,0.33380938,0.37421358,0.54455835,0.27719223,0.24806702,0.48337448,0.34428453,0.34556812,0.33111858,0.46847117,0.35482714,0.46284336,0.5299938,0.50086594
auc,0.35449672,0.48409796,0.545506,0.47616282,0.40687844,0.531353,0.57010466,0.4486972,0.56452894,0.44962245,0.38930082,0.45422468,0.36767513,0.46358407,0.44025677,0.58723044,0.5916607,0.540034,0.23720637,0.4857884
aul,0.6639018,0.62432355,0.707989,0.70290756,0.63666,0.46114433,0.561827,0.18741198,0.60394466,0.60974014,0.5203169,0.37679803,0.33727708,0.6825006,0.35018584,0.18088777,0.36875087,0.16736752,0.44798297,0.78304935
avp,0.51694477,0.5423077,0.22176534,0.34499466,0.55562884,0.40303206,0.13432793,0.4092113,0.63062775,0.44698465,0.26098368,0.5051638,0.54774576,0.31125715,0.52183217,0.5343745,0.42854524,0.49766538,0.7316174,0.29211995
awk,0.4449538,0.5284302,0.70747197,0.5787747,0.444877,0.50810516,0.5349427,0.26151454,0.36607587,0.469738,0.60955423,0.35802492,0.36428738,0.45865935,0.4080946,0.185361,0.4516783,0.49768466,0.63620585,0.55191624
awp,0.41882104,0.33239788,0.33329397,0.5100966,0.46046475,0.31560123,0.46164262,0.49970597,0.3875,0.39196235,0.3493325,0.39627188,0.4020147,0.25399,0.52885467,0.68144345,0.4120311,0.55748343,0.22361743,0.48602572
awu,0.5558376,0.57033885,0.48529744,0.5766825,0.34876308,0.42655194,0.4546101,0.7692543,0.32275593,0.5428302,0.4267124,0.40700147,0.44701773,0.65451086,0.5122753,0.36282235,0.43037364,0.2850545,0.7016101,0.4737646
axn,0.62545216,0.58088475,0.6972879,0.61989534,0.6145248,0.4373498,0.40761817,0.5440841,0.31201398,0.58297056,0.59235966,0.4591211,0.3982842,0.22608513,0.28719288,0.5126457,0.5863358,0.47917852,0.37955344,0.6598021
axo,0.38614404,0.52181834,0.24024464,0.16034709,0.4225351,0.35417375,0.34838083,0.42683893,0.3703485,0.65530056,0.23939261,0.21918923,0.4029426,0.20057212,0.37312287,0.25369674,0.4628707,0.4645594,0.41354764,0.53653526
axp,0.497755,0.4952879,0.5688564,0.49289423,0.36033797,0.5356882,0.43211684,0.3690994,0.52711755,0.5813284,0.48963028,0.58125913,0.24378206,0.48252445,0.41809094,0.5294926,0.3613735,0.5397627,0.38080472,0.5312171
ayc,0.43456417,0.14347155,0.571478,0.14586447,0.4301434,0.46804285,0.6244978,0.415013,0.72773314,0.6239395,0.76597893,0.5381136,0.4285656,0.32276082,0.53067625,0.40936166,0.55372965,0.7078911,0.7429226,0.35972175
ayg,0.29594675,0.5119072,0.13605437,0.42004195,0.43582258,0.6357157,0.27019757,0.33718216,0.41047806,0.27921295,0.22453725,0.24769902,0.46627295,0.48882946,0.50014347,0.34590262,0.46196905,0.26910114,0.5045632,0.33264083
azb,0.35274243,0.5089088,0.33502293,0.63768935,0.36760437,0.587649,0.4522913,0.2633794,0.5263692,0.1745678,0.39390022,0.27301145,0.4659479,0.171838,0.40901518,0.5146072,0.21005476,0.3565419,0.34947413,0.30139416
azo,0.39322662,0.3456787,0.4796044,0.47781074,0.606086,0.37987846,0.47192156,0.35681364,0.40235764,0.36420876,0.32109594,0.38004982,0.56778014,0.58580846,0.45739156,0.5832014,0.58943605,0.35194275,0.42061433,0.7392974
ban,0.5140892,0.5980954,0.5490439,0.6340585,0.47963655,0.6590875,0.72967863,0.4246056,0.69322777,0.68047625,0.56826293,0.28612173,0.4960801,0.44686162,0.37949276,0.55665433,0.57750857,0.15202634,0.56714404,0.71056944
bao,0.34358495,0.34829152,0.29339445,0.5403082,0.3808809,0.6115606,0.36057907,0.42192373,0.39720717,0.38540882,0.4973321,0.59220463,0.5636284,0.4997154,0.3859554,0.41985282,0.58302236,0.4601121,0.39580333,0.5279804
bar,0.17352492,0.3486536,0.1652962,0.2235038,0.34250212,0.47533625,0.561042,0.56112415,0.25396982,0.34668934,0.30535477,0.50647056,0.34026194,0.2645107,0.39359325,0.2869153,0.27726203,0.39633644,0.11363154,0.42210338
bas,0.23177806,0.22417828,0.25913686,0.53812456,0.32880956,0.46039414,0.48155424,0.3561012,0.35186696,0.28772736,0.29226577,0.36375868,0.2789176,0.37205437,0.30104947,0.3330983,0.30090928,0.6237371,0.33305925,0.45452094
bbn,0.5735775,0.556301,0.51839185,0.34577584,0.42767218,0.53640157,0.39312834,0.4487804,0.6494081,0.45775673,0.525123,0.44969124,0.4625332,0.5392102,0.4256388,0.57450575,0.5398433,0.33054388,0.45721492,0.2965628
bbt,0.3014754,0.3394027,0.3222616,0.3975799,0.7668034,0.33248568,0.26606292,0.25595993,0.49051332,0.2574635,0.34133166,0.399493,0.55658364,0.34840736,0.21101949,0.44576365,0.2976028,0.23862949,0.38201624,0.56657976
bcf,0.5656357,0.24177729,0.5047977,0.37565136,0.43906322,0.46504843,0.5924169,0.57652605,0.5783828,0.5345181,0.4600966,0.48949337,0.5551081,0.49178243,0.5512769,0.37301952,0.56740594,0.7059778,0.582338,0.4932586
bcg,0.60713756,0.46070415,0.29412392,0.35546467,0.41223615,0.6332321,0.5690316,0.539287,0.44966623,0.47437134,0.4988485,0.52169883,0.35443375,0.67021835,0.37395716,0.23141478,0.4804793,0.47437483,0.4590945,0.47160673
bci,0.34247106,0.37476686,0.35474414,0.3613137,0.40618783,0.45968723,0.5796303,0.33864933,0.6256417,0.35851684,0.4591714,0.48546928,0.43889612,0.42366838,0.2640745,0.37642276,0.49250376,0.45542222,0.46793312,0.33248264
bcj,0.3503179,0.3725114,0.56633425,0.43945855,0.5154638,0.7311146,0.47355917,0.5542834,0.41659865,0.60665786,0.58383477,0.48905087,0.59314954,0.45465428,0.3883478,0.26751414,0.48504657,0.42450032,0.3398428,0.31556988
bcn,0.30371797,0.13551643,0.34923622,0.11830884,0.26189035,0.4940197,0.15455554,0.4858002,0.26809028,0.13221787,0.283508,0.5423983,0.26619956,0.34485403,0.7308303,0.41631743,0.30536547,0.40104103,0.18123195,0.3588004
bcw,0.36208746,0.6266953,0.5174451,0.46241826,0.5299671,0.35190082,0.58288133,0.47600204,0.39343905,0.5326477,0.48439747,0.46190557,0.2017674,0.6345767,0.6021917,0.58552885,0.39434257,0.3246705,0.5291549,0.61507887
bdv,0.53268933,0.3843869,0.483217,0.39319992,0.5753684,0.309166,0.5138386,0.3291604,0.3697656,0.5781928,0.3653268,0.44325355,0.41561225,0.43572202,0.5514072,0.4121099,0.28891137,0.6422808,0.47762907,0.4133571
bep,0.4006767,0.5440991,0.6176355,0.47834727,0.21423186,0.29386643,0.4908384,0.29581124,0.4123963,0.37450993,0.43294,0.36282605,0.75799525,0.5519103,0.51207846,0.6000122,0.24196604,0.51608175,0.6304636,0.48901573
bew,0.35172546,0.2183437,0.34769428,0.26768827,0.3571909,0.16572326,0.21692306,0.6892284,0.34594598,0.38124344,0.32641095,0.47129726,0.26808408,0.2458579,0.27216762,0.29344302,0.36433107,0.32506353,0.27755406,0.28314793
bfc,0.4218298,0.44945833,0.55065864,0.5068377,0.5236622,0.446785,0.5149326,0.50102246,0.43569413,0.5718415,0.3027848,0.34719115,0.5504087,0.28693977,0.44029868,0.5412047,0.3371905,0.6337862,0.32733387,0.39961013
bft,0.320654,0.45143044,0.52346444,0.280669,0.14622404,0.4709019,0.43563014,0.44801122,0.29653776,0.18688102,0.27441764,0.36657164,0.39470112,0.17859241,0.35052922,0.41484702,0.40436277,0.18905002,0.35117215,0.23841405
bfx,0.41466683,0.55028206,0.4682541,0.43183455,0.5696924,0.38472432,0.49927875,0.45613423,0.3857465,0.49229297,0.2989439,0.43363276,0.3729728,0.3433275,0.33876652,0.43273556,0.5165391,0.4858578,0.49521944,0.6416946
bhw,0.57664794,0.42063743,0.49044365,0.5740076,0.2544704,0.2638426,0.6354457,0.20537752,0.41461492,0.4166828,0.4893367,0.41956624,0.5351775,0.47182712,0.43876764,0.42571604,0.6435557,0.47567838,0.118891135,0.26541123
bim,0.4642079,0.6123733,0.5025111,0.3830021,0.56649125,0.52016824,0.3252542,0.33544657,0.5413132,0.50948095,0.63632834,0.56241125,0.60352606,0.3885408,0.55816644,0.4197297,0.40293178,0.23055594,0.5976992,0.4108453
bis,0.5466943,0.48001248,0.67007744,0.35045207,0.54060006,0.5663793,0.44790968,0.4407271,0.45776564,0.38077486,0.48744476,0.3148045,0.40200824,0.42198586,0.33400777,0.5422233,0.43854642,0.48488796,0.30322823,0.49988344
biu,0.45992166,0.565959,0.54915667,0.57701856,0.35221216,0.5898062,0.42123306,0.46833274,0.7503527,0.29858613,0.473782,0.48927736,0.56296885,0.5237372,0.41544363,0.39986563,0.5518382,0.6194209,0.6367506,0.6645504
bjq,0.4027544,0.3464568,0.6287577,0.5004234,0.66769266,0.6861735,0.56495535,0.5267123,0.6421429,0.44511288,0.5496503,0.4597277,0.353627,0.44052887,0.53458434,0.65587485,0.5003505,0.48017648,0.39826575,0.2509133
bjr,0.41783047,0.345047,0.4060581,0.27958107,0.334983,0.21745858,0.31036723,0.39024937,0.34899056,0.36039367,0.27384537,0.37026826,0.17073797,0.34454,0.27663803,0.4235689,0.21797624,0.7603039,0.4879442,0.28111386
bkt,0.5254692,0.38273865,0.50626314,0.46826938,0.36956376,0.43957227,0.24392027,0.18504292,0.3025176,0.3487596,0.3805909,0.40608156,0.38083816,0.5972158,0.2285398,0.615005,0.3703491,0.308593,0.42268026,0.29247805
blg,0.49235362,0.5957248,0.4645999,0.3270601,0.40977395,0.536034,0.5142429,0.44494423,0.28967074,0.49418926,0.48999926,0.61146677,0.6729988,0.37369195,0.48900214,0.4445029,0.681178,0.36620697,0.54907554,0.4181358
blu,0.27415562,0.5130758,0.3271321,0.41062152,0.38041213,0.323061,0.41115078,0.5772825,0.5622011,0.5072086,0.5186937,0.5059856,0.35117987,0.3650629,0.40109757,0.39849728,0.26978076,0.35025224,0.34023887,0.4397357
bmj,0.39636987,0.44352284,0.1636171,0.44080865,0.44494483,0.34121117,0.24693453,0.6292951,0.42145413,0.42964584,0.37178814,0.39167726,0.32570633,0.27656847,0.27940086,0.22314651,0.15686199,0.35246778,0.56438476,0.43229753
bmw,0.5059825,0.415816,0.5229734,0.59620273,0.44047314,0.5600517,0.5320491,0.5239779,0.597561,0.46650192,0.5135537,0.51486033,0.61925054,0.47783196,0.42772835,0.41730568,0.66457474,0.72835565,0.5378751,0.4200707
bni,0.63829255,0.3950193,0.30407578,0.45575738,0.54055285,0.544976,0.61004734,0.5814223,0.5366766,0.36065775,0.5340614,0.63879013,0.6068888,0.77903366,0.6240231,0.55236983,0.4484442,0.33598337,0.32442904,0.22489369
bnm,0.3491938,0.78895545,0.29721513,0.55488,0.44387284,0.35231844,0.22461545,0.38984305,0.38267025,0.20897444,0.39337212,0.37916696,0.42935878,0.20899221,0.3047534,0.500049,0.35577518,0.5442505,0.52805185,0.25718272
bos,0.5694879,0.58157676,0.43014908,0.2916919,0.59163564,0.59944373,0.71098346,0.30890983,0.40013206,0.56313807,0.5263812,0.58960235,0.3294329,0.23408982,0.52586365,0.47138548,0.56951153,0.70073926,0.35188776,0.56856227
bpg,0.59573686,0.48320562,0.3100257,0.552986,0.40337375,0.33681545,0.43920428,0.46980038,0.3287054,0.3994954,0.39085978,0.42528337,0.32504147,0.36081955,0.50418603,0.48615825,0.4096484,0.43441078,0.3713966,0.38438687
bph,0.2716828,0.41137478,0.36336952,0.43795344,0.43046123,0.25988388,0.4691435,0.5665691,0.2976748,0.39561638,0.39019886,0.42633334,0.51391745,0.31028926,0.3666654,0.4685317,0.22353727,0.5872792,0.5172505,0.46279553
bpv,0.41976315,0.46907514,0.63166344,0.50183827,0.32083973,0.38363457,0.38441056,0.42708775,0.47621402,0.4841383,0.38557702,0.28427556,0.4191588,0.3724005,0.42160213,0.35081974,0.38550133,0.44980645,0.41507033,0.5192784
bqc,0.4627816,0.4233852,0.58456117,0.53896075,0.52904403,0.6011196,0.5522072,0.5950906,0.5849118,0.5657879,0.5841049,0.34474933,0.49372637,0.5064313,0.40750098,0.5798725,0.34556746,0.53468484,0.42977303,0.47151566
bqp,0.4440663,0.3744723,0.28510463,0.38506746,0.46482906,0.3883525,0.29337624,0.35579035,0.4237345,0.38210618,0.36666083,0.29479906,0.42626387,0.476987,0.37519664,0.47386184,0.31626227,0.2233605,0.3555985,0.33086246
bqq,0.49572867,0.23317036,0.56043375,0.2525844,0.5725566,0.25482202,0.41011977,0.31762758,0.517151,0.47435635,0.5275547,0.53034526,0.30929887,0.18980291,0.33859026,0.35646856,0.36297423,0.4225729,0.49500528,0.30779284
brj,0.5792768,0.16921115,0.63231575,0.3983066,0.7889546,0.494951,0.59827125,0.25251248,0.4866965,0.7767159,0.14427048,0.7089338,0.70278925,0.23605557,0.34898543,0.59549224,0.6443649,0.31154788,0.6372319,0.30067518
brr,0.49514654,0.4897409,0.17530403,0.34308195,0.26601127,0.3478059,0.40746427,0.3702039,0.25499594,0.45480365,0.29839814,0.34107754,0.26926923,0.2843601,0.39976585,0.28017873,0.46121204,0.33377403,0.26020682,0.42469585
bug,0.52901566,0.30334842,0.46760654,0.4742128,0.45279312,0.34214568,0.65204823,0.5979743,0.47650933,0.32897535,0.3345981,0.46069086,0.48787105,0.60799253,0.21307462,0.3813976,0.42670995,0.4808886,0.43795866,0.39026642
bul,0.46416768,0.39599353,0.47844738,0.554761,0.45828176,0.298771,0.5368956,0.35232356,0.36008525,0.62252855,0.5710571,0.58675754,0.3898846,0.49808517,0.6482878,0.5622202,0.7247666,0.51785284,0.40832213,0.54394466
buw,0.5625733,0.37063056,0.6712233,0.3880834,0.21449436,0.4699125,0.39925623,0.4205808,0.6149243,0.4063277,0.35898936,0.5162494,0.4284042,0.56031406,0.27744794,0.47454387,0.5769005,0.3445271,0.5744235,0.33836773
buy,0.4582517,0.5184657,0.4782094,0.3759472,0.48194394,0.4138819,0.60530436,0.5730789,0.24182999,0.415843,0.49109375,0.3365351,0.49844092,0.4773404,0.5620526,0.46171317,0.65888953,0.47121903,0.412017,0.6440697
bvh,0.5668511,0.5403681,0.6177073,0.47203916,0.49599314,0.4808433,0.55217963,0.54149204,0.43228793,0.3300113,0.45664436,0.43002278,0.42042878,0.4976253,0.4544593,0.38745052,0.5825073,0.48871177,0.29509503,0.4843405
bvi,0.42683837,0.43187022,0.25132605,0.35812682,0.36918932,0.5438789,0.36625844,0.44448924,0.37207937,0.5162808,0.3666643,0.5657005,0.63439584,0.44061932,0.86834586,0.32731527,0.51617384,0.3699463,0.3703237,0.42142016
bvs,0.41390896,0.4244489,0.6186413,0.2513269,0.52898216,0.25271428,0.4328178,0.53960156,0.49288982,0.23834069,0.56461704,0.54030734,0.51183623,0.43248266,0.5879829,0.48351985,0.43057492,0.33628854,0.40634942,0.604524
bvw,0.38438547,0.44479218,0.31153086,0.30395597,0.40411597,0.4478627,0.33160514,0.29928997,0.3684247,0.28279817,0.2558188,0.5863484,0.40438122,0.62072057,0.5107858,0.5521164,0.24063562,0.5059594,0.33775228,0.36627778
bwb,0.48474288,0.24960214,0.51181185,0.49472624,0.3817313,0.33002788,0.2582544,0.5122673,0.4837315,0.37697434,0.33662158,0.4665604,0.2603769,0.5761298,0.40218148,0.40822497,0.43993556,0.44741756,0.5795158,0.44433987
